venue_category_group,Latitude,Longitude,metro_regional_label,sa2_code_2021,nearest_stop_distance_m,distance_band,distance_band_order,access_class,late_night_flag
Producer,-38.37225,144.87409,Metro,214021384,297.7,200-400m,2,high_access_0_400m,False
Producer,-36.96385,144.11503,Regional,202021028,5949.2,800m+,4,low_access_800m_plus,False
Producer,-38.13244,145.12819,Metro,214011371,228.0,200-400m,2,high_access_0_400m,False
Producer,-36.30908,146.84398,Regional,204031075,179.7,0-200m,1,high_access_0_400m,False
Producer,-37.81993,145.21439,Metro,211031266,84.8,0-200m,1,high_access_0_400m,False
Producer,-37.9723,145.08489,Metro,208031188,464.0,400-800m,3,moderate_access_400_800m,False
Producer,-38.52374,145.42393,Regional,205031093,2649.7,800m+,4,low_access_800m_plus,False
Producer,-36.76483,144.27946,Regional,202011018,331.7,200-400m,2,high_access_0_400m,False
Producer,-36.76483,144.27946,Regional,202011018,331.7,200-400m,2,high_access_0_400m,False
Producer,-36.48458,144.85489,Regional,216011410,7423.5,800m+,4,low_access_800m_plus,False
Producer,-38.31535,142.90403,Regional,217031475,11221.9,800m+,4,low_access_800m_plus,False
Producer,-36.3273,146.8215,Regional,204031075,2719.8,800m+,4,low_access_800m_plus,False
Producer,-37.27651,144.73603,Regional,210021235,231.7,200-400m,2,high_access_0_400m,False
Producer,-37.27651,144.73603,Regional,210021235,231.7,200-400m,2,high_access_0_400m,False
Producer,-37.53207,145.46712,Regional,209031211,14095.4,800m+,4,low_access_800m_plus,False
Producer,-38.25618,145.13119,Metro,214021385,4156.2,800m+,4,low_access_800m_plus,False
Producer,-38.19335,145.92543,Regional,205011079,2575.0,800m+,4,low_access_800m_plus,False
Producer,-36.85467,145.33379,Regional,204011058,12781.4,800m+,4,low_access_800m_plus,False
Producer,-38.19172,146.56367,Regional,205041493,172.8,0-200m,1,high_access_0_400m,False
Producer,-37.72063,145.14005,Metro,209031209,322.3,200-400m,2,high_access_0_400m,False
Producer,-38.11506,144.35687,Regional,203021047,286.8,200-400m,2,high_access_0_400m,False
Producer,-36.93794,144.63038,Regional,202021029,8481.4,800m+,4,low_access_800m_plus,False
Producer,-38.21729,145.18108,Metro,214021385,1168.5,800m+,4,low_access_800m_plus,False
Producer,-37.69351,145.40232,Metro,211051278,2112.3,800m+,4,low_access_800m_plus,False
Producer,-38.37652,144.80705,Metro,214021383,116.6,0-200m,1,high_access_0_400m,False
Producer,-37.65045,145.46724,Metro,211051276,1071.6,800m+,4,low_access_800m_plus,False
Producer,-37.87847,145.51887,Metro,211051279,7682.8,800m+,4,low_access_800m_plus,False
Producer,-37.91108,145.10751,Metro,212051326,117.9,0-200m,1,high_access_0_400m,False
Producer,-36.14836,146.61049,Regional,204031070,510.0,400-800m,3,moderate_access_400_800m,False
Producer,-36.06815,146.19026,Regional,216021412,5807.0,800m+,4,low_access_800m_plus,False
Producer,-36.78579,144.73329,Regional,202021029,10627.4,800m+,4,low_access_800m_plus,False
Producer,-37.64851,145.54418,Metro,211051276,236.1,200-400m,2,high_access_0_400m,False
Producer,-37.72558,144.97094,Metro,210031236,340.2,200-400m,2,high_access_0_400m,False
Producer,-38.00826,145.09795,Metro,208031193,108.0,0-200m,1,high_access_0_400m,False
Producer,-36.381,145.41397,Regional,216031416,41.0,0-200m,1,high_access_0_400m,False
